Movie ID,Title,Genre,Month,Year,Release Date,Director,Lead Actor/Actress,IMDB Rating,Box Office Revenue (Crores),Production Company,Country
1,Pathaan 2,Action,2,2023,22-02-2023,Sanjay Leela Bhansali,Kartik Aaryan,8.7,213.85,Balaji Motion Pictures,India
2,Raid 2 3,Adventure,9,2024,02-09-2024,Rajkumar Hirani,Kangana Ranaut,7.9,439.23,Red Chillies Entertainment,India
3,Jawaan 5,Thriller,9,2024,15-09-2024,Anurag Kashyap,Alia Bhatt,9.2,330.32,Nadiadwala Grandson,India
4,Animal 1,Comedy,4,2024,28-04-2024,Karan Johar,Salman Khan,5.5,214.82,Nadiadwala Grandson,India
5,Animal 2,Adventure,9,2023,19-09-2023,Rajkumar Hirani,Kriti Sanon,9,334.39,Balaji Motion Pictures,India
6,Gadar 2 1,Romance,10,2023,11-10-2023,Neeraj Pandey,Shah Rukh Khan,7.4,205.83,Viacom18 Studios,India
7,Sooryavanshi 2 4,Action,6,2024,01-06-2024,S. S. Rajamouli,Hrithik Roshan,9.5,334.48,Dharma Productions,India
8,KGF Chapter 3 4,Horror,12,2023,05-12-2023,Neeraj Pandey,Kriti Sanon,8.6,30.69,Excel Entertainment,India
9,Pathaan 4,Romance,1,2024,02-01-2024,Kabir Khan,Vicky Kaushal,9.2,74.24,Yash Raj Films,India
10,Drishyam 3 2,Mystery,12,2024,06-12-2024,Rajkumar Hirani,Kriti Sanon,6.1,410.74,Viacom18 Studios,India
11,Tiger Returns 3,Action,5,2023,21-05-2023,Siddharth Anand,Nawazuddin Siddiqui,7.2,152.58,Yash Raj Films,India
12,Drishyam 3 1,Action,11,2023,20-11-2023,Rajkumar Hirani,Shah Rukh Khan,5.9,122.52,Red Chillies Entertainment,India
13,Yodha 4,Action,9,2024,16-09-2024,Rohit Shetty,Salman Khan,7.6,284.24,Reliance Entertainment,India
14,Singham Again 3,Action,12,2024,24-12-2024,Neeraj Pandey,Salman Khan,5.8,122.3,Excel Entertainment,India
15,Raid 2 4,Drama,1,2024,15-01-2024,S. S. Rajamouli,Deepika Padukone,6.5,465.37,Nadiadwala Grandson,India
16,Shershaah 1,Action,10,2023,20-10-2023,Rohit Shetty,Ranbir Kapoor,9.3,201.81,Fox Star Studios,India
17,Yodha 2,Comedy,10,2023,24-10-2023,Rajkumar Hirani,Akshay Kumar,6.1,413.5,Nadiadwala Grandson,India
18,Yodha 3,Drama,5,2023,27-05-2023,Rajkumar Hirani,Shah Rukh Khan,8.5,258.31,Red Chillies Entertainment,India
19,Pathaan 3,Drama,3,2023,09-03-2023,Neeraj Pandey,Salman Khan,9.4,322.71,Red Chillies Entertainment,India
20,Pathaan 5,Thriller,3,2023,17-03-2023,Siddharth Anand,Alia Bhatt,9.1,251.38,Red Chillies Entertainment,India
21,Rocky Aur Rani 3,Thriller,11,2024,08-11-2024,Siddharth Anand,Ranveer Singh,7.3,467.76,T-Series,India
22,Brahmastra 4,Thriller,11,2024,10-11-2024,Sanjay Leela Bhansali,Ranveer Singh,6.7,32.59,Yash Raj Films,India
23,Singham Again 5,Mystery,7,2023,20-07-2023,Siddharth Anand,Ranbir Kapoor,5.3,438.62,Dharma Productions,India
24,Fighter 3,Thriller,1,2024,31-01-2024,S. S. Rajamouli,Shah Rukh Khan,7.7,186.13,T-Series,India
25,Shershaah 5,Horror,2,2023,25-02-2023,Rajkumar Hirani,Kriti Sanon,8.7,20.6,Fox Star Studios,India
26,Yodha 2,Action,4,2023,15-04-2023,Neeraj Pandey,Aamir Khan,6.1,450.21,Viacom18 Studios,India
27,Singham Again 1,Comedy,2,2024,14-02-2024,Neeraj Pandey,Ranbir Kapoor,6.9,176.05,Balaji Motion Pictures,India
28,Tiger Returns 1,Drama,7,2023,14-07-2023,Karan Johar,Alia Bhatt,7.2,191.73,Red Chillies Entertainment,India
29,Bajrangi Bhaijaan 2 4,Thriller,7,2023,22-07-2023,Karan Johar,Shah Rukh Khan,8.3,383.87,Dharma Productions,India
30,Yodha 2,Romance,10,2024,15-10-2024,Karan Johar,Kangana Ranaut,5.4,409.95,Red Chillies Entertainment,India
31,Fighter 3,Adventure,11,2024,12-11-2024,Anurag Kashyap,Kriti Sanon,7,333.62,Balaji Motion Pictures,India
32,Animal 2,Drama,10,2024,02-10-2024,Sanjay Leela Bhansali,Kartik Aaryan,8.8,404.47,T-Series,India
33,Raid 2 1,Drama,3,2024,17-03-2024,Rohit Shetty,Shah Rukh Khan,9.1,486.72,Excel Entertainment,India
34,Raid 2 4,Adventure,3,2023,21-03-2023,Kabir Khan,Alia Bhatt,5.6,427.35,Balaji Motion Pictures,India
